Date,PriceValue,key,ShillerPERatio,Earnings,TreasuryRate,Unemployment,CPI,USRealGDP,PriceDiff,ShillerPERatioDiff,EarningsDiff,TreasuryRateDiff,UnemploymentDiff,CPIDiff,USRealGDPDiff,MTrend
1948-02-01,14.1,1948-02,10.0,21.64,2.43,3.8,23.5,2.09,-0.04922454484153749,-0.41999999999999993,0.02900618164526869,-0.009999999999999787,0.3999999999999999,-0.008438818565400852,0.0,Bearish
1948-03-01,14.3,1948-03,10.19,22.17,2.42,4.0,23.4,2.09,0.014184397163120588,0.1899999999999995,0.024491682070240328,-0.010000000000000231,0.20000000000000018,-0.004255319148936176,0.0,Neutral
1948-04-01,15.4,1948-04,10.78,22.43,2.41,3.9,23.8,2.09,0.07692307692307687,0.5899999999999999,0.011727559765448703,-0.009999999999999787,-0.10000000000000009,0.017094017094017255,0.0,Bullish
1948-05-01,16.15,1948-05,11.24,22.97,2.4,3.5,23.9,2.09,0.04870129870129869,0.46000000000000085,0.024074899687917872,-0.010000000000000231,-0.3999999999999999,0.004201680672268893,0.0,Bullish
1948-06-01,16.82,1948-06,11.58,23.41,2.39,3.6,24.1,2.12,0.041486068111455277,0.33999999999999986,0.019155420113191157,-0.009999999999999787,0.10000000000000009,0.008368200836820217,0.014354066985646119,Bullish
1948-07-01,16.42,1948-07,11.13,24.0,2.38,3.6,24.4,2.12,-0.02378121284185486,-0.4499999999999993,0.025202904741563392,-0.010000000000000231,0.0,0.012448132780082943,0.0,Bearish
1948-08-01,15.94,1948-08,10.72,24.76,2.36,3.9,24.5,2.12,-0.02923264311814877,-0.41000000000000014,0.03166666666666673,-0.020000000000000018,0.2999999999999998,0.004098360655737654,0.0,Bearish
1948-09-01,15.76,1948-09,10.55,25.63,2.35,3.8,24.5,2.13,-0.01129234629861986,-0.16999999999999993,0.03513731825525035,-0.009999999999999787,-0.10000000000000009,0.0,0.004716981132075304,Bearish
1948-10-01,16.19,1948-10,10.83,26.65,2.34,3.7,24.4,2.13,0.027284263959390875,0.27999999999999936,0.039797112758486186,-0.010000000000000231,-0.09999999999999964,-0.004081632653061273,0.0,Bullish
1948-11-01,15.29,1948-11,10.25,27.79,2.33,3.8,24.2,2.13,-0.05558987029030282,-0.5800000000000001,0.04277673545966221,-0.009999999999999787,0.09999999999999964,-0.008196721311475419,0.0,Bearish
1948-12-01,15.19,1948-12,10.16,28.83,2.32,4.0,24.1,2.14,-0.0065402223675604665,-0.08999999999999986,0.03742353364519602,-0.010000000000000231,0.20000000000000018,-0.004132231404958553,0.0046948356807512415,Bearish
1949-01-01,15.36,1949-01,10.25,29.33,2.31,4.3,24.0,2.14,0.011191573403555033,0.08999999999999986,0.01734304543877907,-0.009999999999999787,0.2999999999999998,-0.004149377593361092,0.0,Neutral
1949-02-01,14.77,1949-02,9.87,29.95,2.31,4.7,23.8,2.14,-0.03841145833333337,-0.3800000000000008,0.02113876576883733,0.0,0.40000000000000036,-0.008333333333333304,0.0,Bearish
1949-03-01,14.91,1949-03,9.9,30.34,2.31,5.0,23.8,2.11,0.009478672985782088,0.030000000000001137,0.013021702838063476,0.0,0.2999999999999998,0.0,-0.014018691588785215,Neutral
1949-04-01,14.89,1949-04,9.78,30.29,2.31,5.3,23.9,2.11,-0.0013413816230717357,-0.120000000000001,-0.001647989452867482,0.0,0.2999999999999998,0.004201680672268893,0.0,Bearish
1949-05-01,14.78,1949-05,9.69,30.51,2.31,6.1,23.8,2.11,-0.007387508394895992,-0.08999999999999986,0.007263123142951633,0.0,0.7999999999999998,-0.004184100418409997,0.0,Bearish
1949-06-01,13.97,1949-06,9.07,30.46,2.31,6.2,23.9,2.1,-0.05480378890392412,-0.6199999999999992,-0.0016388069485414603,0.0,0.10000000000000053,0.004201680672268893,-0.004739336492890933,Bearish
1949-07-01,14.76,1949-07,9.61,30.68,2.32,6.7,23.7,2.1,0.05654974946313529,0.5399999999999991,0.007222586999343417,0.009999999999999787,0.5,-0.008368200836820106,0.0,Bullish
1949-08-01,15.29,1949-08,9.85,30.51,2.32,6.8,23.8,2.1,0.03590785907859084,0.2400000000000002,-0.005541069100391094,0.0,0.09999999999999964,0.0042194092827005925,0.0,Bullish
1949-09-01,15.49,1949-09,9.88,30.34,2.32,6.6,23.9,2.12,0.013080444735121155,0.030000000000001137,-0.005571943625040987,0.0,-0.20000000000000018,0.004201680672268893,0.00952380952380949,Neutral
1949-10-01,15.89,1949-10,10.17,30.29,2.32,7.9,23.7,2.12,0.0258231116849581,0.28999999999999915,-0.001647989452867482,0.0,1.3000000000000007,-0.008368200836820106,0.0,Bullish
1949-11-01,16.11,1949-11,10.22,29.87,2.32,6.4,23.8,2.12,0.013845185651353065,0.05000000000000071,-0.013865962363816431,0.0,-1.5,0.0042194092827005925,0.0,Neutral
1949-12-01,16.54,1949-12,10.53,29.82,2.32,6.6,23.6,2.1,0.0266914959652389,0.3099999999999987,-0.0016739203213926857,0.0,0.1999999999999993,-0.008403361344537785,-0.009433962264150941,Bullish
1950-01-01,16.88,1950-01,10.75,30.16,2.32,6.5,23.5,2.1,0.02055622732769047,0.22000000000000064,0.011401743796110031,0.0,-0.09999999999999964,-0.00423728813559332,0.0,Bullish
1950-02-01,17.21,1950-02,10.91,30.38,2.34,6.4,23.5,2.1,0.01954976303317557,0.16000000000000014,0.007294429708222694,0.020000000000000018,-0.09999999999999964,0.0,0.0,Bullish
1950-03-01,17.35,1950-03,10.91,30.46,2.36,6.3,23.6,2.19,0.008134805345729301,0.0,0.0026333113890717463,0.020000000000000018,-0.10000000000000053,0.004255319148936287,0.042857142857142705,Neutral
1950-04-01,17.84,1950-04,11.18,31.19,2.38,5.8,23.6,2.19,0.02824207492795372,0.2699999999999996,0.02396585686145758,0.020000000000000018,-0.5,0.0,0.0,Bullish
1950-05-01,18.44,1950-05,11.46,31.79,2.4,5.5,23.7,2.19,0.03363228699551568,0.28000000000000114,0.019236934915036752,0.020000000000000018,-0.2999999999999998,0.004237288135593209,0.0,Bullish
1950-06-01,18.74,1950-06,11.55,32.38,2.42,5.4,23.8,2.25,0.01626898047722336,0.08999999999999986,0.018559295375904394,0.020000000000000018,-0.09999999999999964,0.0042194092827005925,0.027397260273972712,Neutral
1950-07-01,17.38,1950-07,10.54,32.73,2.44,5.0,24.1,2.25,-0.07257203842049087,-1.0100000000000016,0.010809141445336401,0.020000000000000018,-0.40000000000000036,0.012605042016806678,0.0,Bearish
1950-08-01,18.43,1950-08,11.04,33.21,2.47,4.5,24.3,2.25,0.06041426927502891,0.5,0.014665444546287931,0.03000000000000025,-0.5,0.008298755186721962,0.0,Bullish
1950-09-01,19.08,1950-09,11.34,33.82,2.49,4.4,24.4,2.34,0.03526858383071074,0.3000000000000007,0.01836796145739239,0.020000000000000018,-0.09999999999999964,0.00411522633744843,0.040000000000000036,Bullish
1950-10-01,19.87,1950-10,11.66,34.04,2.51,4.2,24.6,2.34,0.041404612159329224,0.3200000000000003,0.006505026611472564,0.019999999999999574,-0.20000000000000018,0.00819672131147553,0.0,Bullish
1950-11-01,19.83,1950-11,11.54,34.39,2.53,4.2,24.7,2.34,-0.0020130850528435884,-0.120000000000001,0.010282021151586385,0.020000000000000018,0.0,0.00406504065040636,0.0,Bearish
1950-12-01,19.75,1950-12,11.31,34.46,2.55,4.3,25.0,2.38,-0.004034291477559182,-0.22999999999999865,0.00203547542890381,0.020000000000000018,0.09999999999999964,0.012145748987854255,0.017094017094017033,Bearish
1951-01-01,21.21,1951-01,11.9,33.88,2.57,3.7,25.4,2.38,0.07392405063291152,0.5899999999999999,-0.016831108531630834,0.020000000000000018,-0.5999999999999996,0.016000000000000014,0.0,Bullish
1951-02-01,22.0,1951-02,12.14,33.44,2.58,3.4,25.7,2.38,0.03724658180103724,0.2400000000000002,-0.012987012987013102,0.010000000000000231,-0.30000000000000027,0.011811023622047223,0.0,Bullish
1951-03-01,21.63,1951-03,11.84,33.28,2.59,3.4,25.8,2.42,-0.016818181818181843,-0.3000000000000007,-0.004784688995215225,0.009999999999999787,0.0,0.0038910505836575737,0.01680672268907557,Bearish
1951-04-01,21.92,1951-04,11.95,32.84,2.6,3.1,25.8,2.42,0.013407304669440734,0.10999999999999943,-0.013221153846153744,0.010000000000000231,-0.2999999999999998,0.0,0.0,Neutral
1951-05-01,21.93,1951-05,11.86,32.29,2.61,3.0,25.9,2.42,0.00045620437956195303,-0.08999999999999986,-0.016747868453106052,0.009999999999999787,-0.10000000000000009,0.003875968992248069,0.0,Bearish
1951-06-01,21.55,1951-06,11.62,31.86,2.62,3.2,25.9,2.46,-0.017327861377108955,-0.2400000000000002,-0.0133168163518117,0.010000000000000231,0.20000000000000018,0.0,0.016528925619834656,Bearish
1951-07-01,21.93,1951-07,11.78,31.04,2.62,3.1,25.9,2.46,0.017633410672853733,0.16000000000000014,-0.025737602008788496,0.0,-0.10000000000000009,0.0,0.0,Bullish
1951-08-01,22.89,1951-08,12.26,30.22,2.63,3.1,25.9,2.46,0.04377564979480164,0.4800000000000004,-0.026417525773195893,0.009999999999999787,0.0,0.0,0.0,Bullish
1951-09-01,23.48,1951-09,12.44,29.17,2.64,3.3,26.1,2.51,0.02577544779379637,0.17999999999999972,-0.03474520185307739,0.010000000000000231,0.19999999999999973,0.007722007722007929,0.020325203252032464,Bullish
1951-10-01,23.36,1951-10,12.31,28.79,2.65,3.5,26.2,2.51,-0.005110732538330498,-0.129999999999999,-0.013027082619129327,0.009999999999999787,0.20000000000000018,0.003831417624520883,0.0,Bearish
1951-11-01,22.71,1951-11,11.85,28.31,2.66,3.5,26.4,2.51,-0.02782534246575341,-0.46000000000000085,-0.016672455713789502,0.010000000000000231,0.0,0.007633587786259444,0.0,Bearish
1951-12-01,23.41,1951-12,12.15,27.93,2.67,3.1,26.5,2.52,0.030823425803610638,0.3000000000000007,-0.01342281879194629,0.009999999999999787,-0.3999999999999999,0.0037878787878788955,0.003984063745019917,Bullish
1952-01-01,24.19,1952-01,12.53,27.78,2.68,3.2,26.5,2.52,0.03331909440410086,0.379999999999999,-0.005370569280343629,0.010000000000000231,0.10000000000000009,0.0,0.0,Bullish
1952-02-01,23.75,1952-02,12.36,27.84,2.69,3.1,26.3,2.52,-0.01818933443571724,-0.16999999999999993,0.002159827213822796,0.009999999999999787,-0.10000000000000009,-0.007547169811320753,0.0,Bearish
1952-03-01,23.81,1952-03,12.36,27.68,2.7,2.9,26.3,2.54,0.00252631578947371,0.0,-0.005747126436781658,0.010000000000000231,-0.20000000000000018,0.0,0.007936507936507908,Neutral
1952-04-01,23.74,1952-04,12.24,27.35,2.72,2.9,26.4,2.54,-0.0029399412011760218,-0.11999999999999922,-0.011921965317919003,0.020000000000000018,0.0,0.0038022813688212143,0.0,Bearish
1952-05-01,23.73,1952-05,12.2,27.12,2.73,3.0,26.4,2.54,-0.0004212299915753448,-0.040000000000000924,-0.008409506398537547,0.009999999999999787,0.10000000000000009,0.0,0.0,Bearish
1952-06-01,24.38,1952-06,12.45,26.79,2.74,3.0,26.5,2.55,0.027391487568478645,0.25,-0.012168141592920456,0.010000000000000231,0.0,0.0037878787878788955,0.003937007874015741,Bullish
1952-07-01,25.08,1952-07,12.67,26.66,2.76,3.2,26.7,2.55,0.028712059064807116,0.22000000000000064,-0.004852556924225371,0.019999999999999574,0.20000000000000018,0.007547169811320753,0.0,Bullish
1952-08-01,25.18,1952-08,12.68,26.74,2.77,3.4,26.7,2.55,0.003987240829346206,0.009999999999999787,0.0030007501875468634,0.010000000000000231,0.19999999999999973,0.0,0.0,Neutral
1952-09-01,24.78,1952-09,12.43,26.81,2.78,3.1,26.7,2.57,-0.015885623510722757,-0.25,0.002617801047120505,0.009999999999999787,-0.2999999999999998,0.0,0.007843137254901933,Bearish
1952-10-01,24.26,1952-10,12.13,26.97,2.79,3.0,26.7,2.57,-0.02098466505246166,-0.29999999999999893,0.005967922417008609,0.010000000000000231,-0.10000000000000009,0.0,0.0,Bearish
1952-11-01,25.03,1952-11,12.47,27.12,2.81,2.8,26.7,2.57,0.03173948887056888,0.33999999999999986,0.00556173526140169,0.020000000000000018,-0.20000000000000018,0.0,0.0,Bullish
1952-12-01,26.04,1952-12,12.93,27.27,2.82,2.7,26.7,2.65,0.040351578106272434,0.4599999999999991,0.005530973451327359,0.009999999999999787,-0.09999999999999964,0.0,0.031128404669260812,Bullish
1953-01-01,26.18,1953-01,13.01,27.49,2.83,2.9,26.6,2.65,0.005376344086021501,0.08000000000000007,0.008067473414008042,0.010000000000000231,0.19999999999999973,-0.0037453183520598232,0.0,Neutral
1953-02-01,25.86,1953-02,12.86,27.7,2.8,2.6,26.5,2.65,-0.012223071046600475,-0.15000000000000036,0.0076391415060022005,-0.03000000000000025,-0.2999999999999998,-0.003759398496240629,0.0,Bearish
1953-03-01,25.99,1953-03,12.83,27.71,2.77,2.6,26.6,2.7,0.005027068832173187,-0.02999999999999936,0.0003610108303249149,-0.029999999999999805,0.0,0.0037735849056603765,0.018867924528301883,Neutral
1953-04-01,24.71,1953-04,12.16,28.02,2.83,2.7,26.6,2.7,-0.04924971142747203,-0.6699999999999999,0.011187297004691343,0.06000000000000005,0.10000000000000009,0.0,0.0,Bearish
1953-05-01,24.84,1953-05,12.14,28.22,3.05,2.5,26.7,2.7,0.005261027923917361,-0.019999999999999574,0.007137758743754441,0.21999999999999975,-0.20000000000000018,0.003759398496240518,0.0,Neutral
1953-06-01,23.95,1953-06,11.62,28.41,3.11,2.5,26.8,2.72,-0.03582930756843805,-0.5200000000000014,0.006732813607370769,0.06000000000000005,0.0,0.0037453183520599342,0.007407407407407307,Bearish
1953-07-01,24.29,1953-07,11.75,28.56,2.93,2.6,26.8,2.72,0.014196242171189866,0.13000000000000078,0.0052798310454065245,-0.17999999999999972,0.10000000000000009,0.0,0.0,Neutral
1953-08-01,24.39,1953-08,11.72,28.61,2.95,2.7,26.9,2.72,0.004116920543433489,-0.02999999999999936,0.0017507002801120386,0.020000000000000018,0.10000000000000009,0.003731343283581934,0.0,Neutral
1953-09-01,23.27,1953-09,11.14,28.76,2.87,2.9,26.9,2.71,-0.04592045920459209,-0.5800000000000001,0.005242922055225474,-0.08000000000000007,0.19999999999999973,0.0,-0.003676470588235392,Bearish
1953-10-01,23.97,1953-10,11.39,28.5,2.66,3.1,27.0,2.71,0.030081650193382048,0.25,-0.009040333796940248,-0.20999999999999996,0.20000000000000018,0.003717472118959231,0.0,Bullish
1953-11-01,24.5,1953-11,11.64,28.46,2.68,3.5,26.9,2.71,0.02211097204839385,0.25,-0.00140350877192974,0.020000000000000018,0.3999999999999999,-0.0037037037037037646,0.0,Bullish
1953-12-01,24.83,1953-12,11.75,28.31,2.59,4.5,26.9,2.66,0.01346938775510198,0.10999999999999943,-0.005270555165144186,-0.0900000000000003,1.0,0.0,-0.01845018450184499,Neutral
